拍數(Beat)   | 時間(Time)     | 強度(Strength)    | 狀態(Status)
155        | 95.655s       | 0.486           |    ...
156        | 96.247s       | 0.568           | ⬤ HIT (出球)
157        | 96.827s       | 0.363           |    ...
158        | 97.350s       | 0.523           | ⬤ HIT (出球)
159        | 97.872s       | 0.469           |    ...
160        | 98.464s       | 0.487           |    ...
161        | 99.080s       | 0.480           |    ...
162        | 99.695s       | 0.467           |    ...
163        | 100.299s       | 0.450           |    ...
164        | 100.914s       | 0.465           |    ...
165        | 101.529s       | 0.471           |    ...
166        | 102.145s       | 0.516           | ⬤ HIT (出球)
167        | 102.783s       | 0.523           | ⬤ HIT (出球)
168        | 103.410s       | 0.576           | ⬤ HIT (出球)
169        | 104.025s       | 0.584           | ⬤ HIT (出球)
170        | 104.652s       | 0.574           | ⬤ HIT (出球)
171        | 105.279s       | 0.498           |    ...
172        | 105.883s       | 0.446           |    ...
173        | 106.452s       | 0.487           |    ...
174        | 107.125s       | 0.533           | ⬤ HIT (出球)
175        | 107.706s       | 0.458           |    ...
176        | 108.333s       | 0.540           | ⬤ HIT (出球)
177        | 108.948s       | 0.461           |    ...
178        | 109.598s       | 0.517           | ⬤ HIT (出球)
179        | 110.214s       | 0.464           |    ...
180        | 110.840s       | 0.561           | ⬤ HIT (出球)
181        | 111.456s       | 0.511           | ⬤ HIT (出球)
182        | 112.083s       | 0.509           | ⬤ HIT (出球)
183        | 112.698s       | 0.568           | ⬤ HIT (出球)
184        | 113.290s       | 0.498           |    ...
185        | 113.975s       | 0.572           | ⬤ HIT (出球)
186        | 114.556s       | 0.523           | ⬤ HIT (出球)
187        | 115.171s       | 0.449           |    ...
188        | 115.798s       | 0.545           | ⬤ HIT (出球)
189        | 116.413s       | 0.484           |    ...
190        | 117.005s       | 0.554           | ⬤ HIT (出球)
191        | 117.690s       | 0.539           | ⬤ HIT (出球)
192        | 118.259s       | 0.528           | ⬤ HIT (出球)
193        | 118.851s       | 0.577           | ⬤ HIT (出球)
194        | 119.478s       | 0.511           | ⬤ HIT (出球)
195        | 120.117s       | 0.544           | ⬤ HIT (出球)
