Index        | Time         | Strength        | Status
143          | 87.934s       | 0.265           |    ...
144          | 88.549s       | 0.378           | ⬤ HIT
145          | 89.153s       | 0.438           | ⬤ HIT
146          | 89.792s       | 0.103           |    ...
147          | 90.407s       | 0.353           | ⬤ HIT
148          | 91.011s       | 0.311           |    ...
149          | 91.638s       | 0.188           |    ...
150          | 92.253s       | 0.475           | ⬤ HIT
151          | 92.868s       | 0.273           |    ...
152          | 93.484s       | 0.146           |    ...
153          | 94.110s       | 0.404           | ⬤ HIT
154          | 94.737s       | 0.296           |    ...
155          | 95.341s       | 0.279           |    ...
156          | 95.956s       | 0.325           |    ...
157          | 96.572s       | 0.301           |    ...
158          | 97.199s       | 0.166           |    ...
159          | 97.826s       | 0.406           | ⬤ HIT
160          | 98.429s       | 0.202           |    ...
161          | 99.056s       | 0.257           |    ...
162          | 99.660s       | 0.407           | ⬤ HIT
163          | 100.287s       | 0.379           | ⬤ HIT
164          | 100.902s       | 0.129           |    ...
165          | 101.529s       | 0.394           | ⬤ HIT
166          | 102.156s       | 0.270           |    ...
167          | 102.760s       | 0.242           |    ...
168          | 103.375s       | 0.552           | ⬤ HIT
169          | 103.991s       | 0.601           | ⬤ HIT
170          | 104.629s       | 0.096           |    ...
171          | 105.244s       | 0.473           | ⬤ HIT
172          | 105.860s       | 0.242           |    ...
173          | 106.487s       | 0.310           |    ...
174          | 107.102s       | 0.446           | ⬤ HIT
175          | 107.706s       | 0.192           |    ...
176          | 108.321s       | 0.087           |    ...
177          | 108.948s       | 0.331           | ⬤ HIT
178          | 109.575s       | 0.118           |    ...
179          | 110.190s       | 0.078           |    ...
180          | 110.794s       | 0.371           | ⬤ HIT
181          | 111.421s       | 0.310           |    ...
182          | 112.036s       | 0.097           |    ...
183          | 112.675s       | 0.371           | ⬤ HIT
184          | 113.290s       | 0.180           |    ...
185          | 113.905s       | 0.282           |    ...
186          | 114.544s       | 0.203           |    ...
187          | 115.148s       | 0.262           |    ...
188          | 115.775s       | 0.105           |    ...
189          | 116.402s       | 0.078           |    ...
190          | 117.017s       | 0.192           |    ...
191          | 117.621s       | 0.162           |    ...
192          | 118.236s       | 0.783           | ⬤ HIT
193          | 118.851s       | 0.513           | ⬤ HIT
194          | 119.467s       | 0.075           |    ...
195          | 120.094s       | 0.724           | ⬤ HIT
196          | 120.709s       | 0.266           |    ...
197          | 121.336s       | 0.522           | ⬤ HIT
198          | 121.951s       | 0.343           | ⬤ HIT
199          | 122.555s       | 0.307           |    ...
200          | 123.182s       | 0.417           | ⬤ HIT
201          | 123.809s       | 0.521           | ⬤ HIT
202          | 124.413s       | 0.404           | ⬤ HIT
203          | 125.028s       | 0.150           |    ...
204          | 125.666s       | 0.537           | ⬤ HIT
205          | 126.270s       | 0.444           | ⬤ HIT
206          | 126.885s       | 0.486           | ⬤ HIT
207          | 127.512s       | 0.575           | ⬤ HIT
208          | 128.128s       | 0.388           | ⬤ HIT
209          | 128.743s       | 0.098           |    ...
210          | 129.370s       | 0.620           | ⬤ HIT
211          | 129.974s       | 0.196           |    ...
212          | 130.601s       | 0.058           |    ...
213          | 131.228s       | 0.527           | ⬤ HIT
214          | 131.831s       | 0.402           | ⬤ HIT
215          | 132.458s       | 0.307           |    ...
216          | 133.074s       | 0.733           | ⬤ HIT
217          | 133.689s       | 0.413           | ⬤ HIT
218          | 134.316s       | 0.205           |    ...
219          | 134.943s       | 0.450           | ⬤ HIT
220          | 135.546s       | 0.416           | ⬤ HIT
221          | 136.173s       | 0.316           |    ...
222          | 136.789s       | 0.483           | ⬤ HIT
223          | 137.253s       | 0.273           |    ...
224          | 137.718s       | 0.263           |    ...
225          | 138.333s       | 0.068           |    ...
226          | 138.960s       | 0.190           |    ...
227          | 139.587s       | 0.188           |    ...
228          | 140.179s       | 0.225           |    ...
229          | 140.794s       | 0.157           |    ...
230          | 141.444s       | 0.252           |    ...
231          | 142.071s       | 0.195           |    ...
232          | 142.663s       | 0.404           | ⬤ HIT
233          | 143.279s       | 0.200           |    ...
234          | 143.906s       | 0.245           |    ...
235          | 144.509s       | 0.072           |    ...
236          | 145.136s       | 0.538           | ⬤ HIT
237          | 145.752s       | 0.120           |    ...
